va,pa,imc_bdf,imc_vendor,imc_device,rir_entry,rir_raw,ways,way_sel,channel_bin
0x0000781c59051000,0x0000000a27195000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59052000,0x00000009880c1000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59053000,0x0000000c36a7a000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59054000,0x0000000c35e4a000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59055000,0x0000000733147000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59056000,0x00000004394d6000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59057000,0x00000004653ba000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59058000,0x0000000ad70fe000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59059000,0x000000037e588000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5905a000,0x00000006e33a1000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5905b000,0x00000005ca5da000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5905c000,0x000000021468f000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5905d000,0x00000009967d7000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5905e000,0x0000000344c58000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5905f000,0x0000000c2fff8000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59060000,0x00000003e7d77000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59061000,0x00000009060cb000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59062000,0x000000077534e000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59063000,0x00000005d5296000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59064000,0x00000003f58f0000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59065000,0x0000000c35399000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59066000,0x00000006bf2a9000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59067000,0x00000004131eb000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59068000,0x00000009db023000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59069000,0x00000004a241a000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5906a000,0x00000007c8877000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5906b000,0x0000000358128000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5906c000,0x00000007ffdbb000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5906d000,0x00000009d5956000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5906e000,0x0000000b585fa000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5906f000,0x0000000ca8d74000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59070000,0x00000007cf89a000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59071000,0x000000054b6d5000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59072000,0x000000038e325000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59073000,0x00000002b6169000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59074000,0x0000000cb0f70000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59075000,0x0000000c2ba0d000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59076000,0x000000037ae05000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59077000,0x000000062ba59000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59078000,0x0000000726094000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59079000,0x00000009d9589000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5907a000,0x00000007c3350000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
