va,pa,imc_bdf,imc_vendor,imc_device,rir_entry,rir_raw,ways,way_sel,channel_guess,notes
0x0070c5a8201680,0x00000cc75ee680,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82016c0,0x00000cc75ee6c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8201700,0x00000cc75ee700,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8201740,0x00000cc75ee740,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8201780,0x00000cc75ee780,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82017c0,0x00000cc75ee7c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8201800,0x00000cc75ee800,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8201840,0x00000cc75ee840,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8201880,0x00000cc75ee880,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82018c0,0x00000cc75ee8c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8201900,0x00000cc75ee900,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8201940,0x00000cc75ee940,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8201980,0x00000cc75ee980,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82019c0,0x00000cc75ee9c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8201a00,0x00000cc75eea00,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8201a40,0x00000cc75eea40,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
